,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature
2016,2017,L49196,L,298.5,308.3,1458,44.0,44,0,No Failure,6717.98,3857.98,9.800000000000011
2017,2018,L49197,L,298.7,308.5,1483,42.5,46,0,No Failure,6600.22,3740.22,9.800000000000011
2018,2019,L49198,L,298.7,308.5,1375,46.4,48,0,No Failure,6681.12,3821.12,9.800000000000011
2019,2020,M16879,M,298.7,308.5,1660,27.0,50,0,No Failure,4693.54,1833.54,9.800000000000011
2020,2021,H31434,H,298.7,308.4,1560,33.3,53,0,No Failure,5439.98,2579.98,9.699999999999989
2021,2022,L49201,L,298.7,308.5,1480,42.2,58,0,No Failure,6540.38,3680.38,9.800000000000011
2022,2023,L49202,L,298.7,308.4,1373,46.9,60,0,No Failure,6743.29,3883.29,9.699999999999989
2023,2024,L49203,L,298.7,308.5,1444,54.2,62,0,No Failure,8195.87,5335.87,9.800000000000011
2024,2025,M16884,M,298.7,308.6,1722,24.7,64,0,No Failure,4454.09,1594.09,9.900000000000034
2025,2026,L49205,L,298.7,308.5,1469,39.9,67,0,No Failure,6137.95,3277.95,9.800000000000011
2026,2027,M16886,M,298.7,308.5,1360,52.9,69,0,No Failure,7533.96,4673.96,9.800000000000011
2027,2028,L49207,L,298.7,308.4,1750,25.8,72,0,No Failure,4728.1,1868.1,9.699999999999989
2028,2029,M16888,M,298.7,308.3,1349,46.6,74,0,No Failure,6583.04,3723.04,9.600000000000023
2029,2030,L49209,L,298.7,308.5,1668,35.2,77,0,No Failure,6148.47,3288.47,9.800000000000011
2030,2031,L49210,L,298.9,308.6,1400,49.5,79,0,No Failure,7257.08,4397.08,9.700000000000045
2031,2032,L49211,L,298.8,308.6,1331,62.8,81,0,No Failure,8753.19,5893.19,9.800000000000011
2032,2033,L49212,L,298.8,308.5,1444,42.2,83,0,No Failure,6381.29,3521.29,9.699999999999989
2033,2034,H31447,H,298.8,308.5,1359,47.6,85,0,No Failure,6774.15,3914.15,9.699999999999989
2034,2035,M16894,M,298.8,308.5,1425,47.4,90,0,No Failure,7073.3,4213.3,9.699999999999989
2035,2036,M16895,M,298.9,308.6,1469,34.2,93,0,No Failure,5261.1,2401.1,9.700000000000045
2036,2037,L49216,L,299.0,308.7,1892,22.8,96,0,No Failure,4517.36,1657.36,9.699999999999989
2037,2038,H31451,H,299.0,308.7,1940,19.9,98,0,No Failure,4042.81,1182.81,9.699999999999989
2038,2039,L49218,L,299.0,308.8,1405,55.2,103,0,No Failure,8121.65,5261.65,9.800000000000011
2039,2040,M16899,M,299.0,308.9,1449,39.6,105,0,No Failure,6008.86,3148.86,9.899999999999977
2040,2041,L49220,L,299.1,308.9,1686,29.6,108,0,No Failure,5226.1,2366.1,9.799999999999955
2041,2042,L49221,L,299.1,308.9,1680,27.2,110,0,No Failure,4785.27,1925.27,9.799999999999955
2042,2043,M16902,M,299.1,308.9,1397,52.4,112,0,No Failure,7665.78,4805.78,9.799999999999955
2043,2044,M16903,M,299.2,309.0,1597,30.3,115,0,No Failure,5067.29,2207.29,9.800000000000011
2044,2045,L49224,L,299.3,309.1,1470,41.1,118,0,No Failure,6326.85,3466.85,9.800000000000011
2045,2046,M16905,M,299.3,309.1,1703,31.3,120,0,No Failure,5581.97,2721.97,9.800000000000011
2046,2047,L49226,L,299.3,309.1,1388,45.5,123,0,No Failure,6613.47,3753.47,9.800000000000011
2047,2048,L49227,L,299.3,309.2,1775,24.2,125,0,No Failure,4498.24,1638.24,9.899999999999977
2048,2049,L49228,L,299.3,309.2,1465,41.5,127,0,No Failure,6366.7,3506.7,9.899999999999977
2049,2050,M16909,M,299.3,309.2,1586,37.9,129,0,No Failure,6294.64,3434.64,9.899999999999977
2050,2051,M16910,M,299.5,309.3,1675,29.2,132,0,No Failure,5121.84,2261.84,9.800000000000011
2051,2052,M16911,M,299.4,309.2,1470,44.4,135,0,No Failure,6834.85,3974.85,9.800000000000011
2052,2053,L49232,L,299.5,309.3,1477,40.4,138,0,No Failure,6248.71,3388.71,9.800000000000011
2053,2054,L49233,L,299.5,309.3,1382,61.0,140,0,No Failure,8828.08,5968.08,9.800000000000011
2054,2055,M16914,M,299.6,309.4,1605,29.8,142,0,No Failure,5008.64,2148.64,9.799999999999955
2055,2056,L49235,L,299.6,309.4,1643,32.9,145,0,No Failure,5660.59,2800.59,9.799999999999955
2056,2057,L49236,L,299.5,309.3,1333,54.1,147,0,No Failure,7551.9,4691.9,9.800000000000011
2057,2058,L49237,L,299.5,309.3,1520,42.3,149,0,No Failure,6733.06,3873.06,9.800000000000011
2058,2059,M16918,M,299.5,309.3,1902,24.0,151,0,No Failure,4780.25,1920.25,9.800000000000011
2059,2060,H31473,H,299.5,309.4,1386,44.4,154,0,No Failure,6444.29,3584.29,9.899999999999977
2060,2061,L49240,L,299.6,309.5,1803,27.7,159,0,No Failure,5230.03,2370.03,9.899999999999977
2061,2062,L49241,L,299.7,309.6,1359,50.7,161,0,No Failure,7215.33,4355.33,9.900000000000034
2062,2063,M16922,M,299.7,309.6,1477,42.7,163,0,No Failure,6604.46,3744.46,9.900000000000034
2063,2064,L49243,L,299.7,309.6,1321,53.4,166,0,No Failure,7387.08,4527.08,9.900000000000034
2064,2065,L49244,L,299.6,309.5,1453,41.4,168,0,No Failure,6299.33,3439.33,9.899999999999977
2065,2066,L49245,L,299.7,309.6,1419,45.1,170,0,No Failure,6701.74,3841.74,9.900000000000034
2066,2067,L49246,L,299.7,309.6,1512,36.2,172,0,No Failure,5731.77,2871.77,9.900000000000034
2067,2068,L49247,L,299.7,309.6,1553,36.8,174,0,No Failure,5984.78,3124.78,9.900000000000034
2068,2069,M16928,M,299.7,309.6,1534,39.1,176,0,No Failure,6281.03,3421.03,9.900000000000034
2069,2070,H31483,H,299.7,309.6,1553,41.0,179,0,No Failure,6667.82,3807.82,9.900000000000034
2070,2071,L49250,L,299.7,309.5,1352,49.7,184,0,No Failure,7036.58,4176.58,9.800000000000011
2071,2072,M16931,M,299.7,309.6,1313,60.0,186,0,No Failure,8249.82,5389.82,9.900000000000034
2072,2073,L49252,L,299.6,309.5,1570,35.5,189,0,Random Failures,5836.56,2976.56,9.899999999999977
2073,2074,L49253,L,299.6,309.4,1677,31.1,191,0,No Failure,5461.63,2601.63,9.799999999999955
2074,2075,L49254,L,299.5,309.4,1602,31.5,193,0,No Failure,5284.47,2424.47,9.899999999999977
2075,2076,L49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure,8558.96,5698.96,9.899999999999977
2076,2077,L49256,L,299.4,309.3,1544,36.0,197,0,No Failure,5820.74,2960.74,9.900000000000034
2077,2078,L49257,L,299.4,309.4,1701,31.2,199,0,No Failure,5557.6,2697.6,10.0
2078,2079,M16938,M,299.4,309.3,1692,28.4,201,0,No Failure,5032.08,2172.08,9.900000000000034
2079,2080,M16939,M,299.3,309.3,1523,37.9,204,0,No Failure,6044.6,3184.6,10.0
2080,2081,L49260,L,299.3,309.2,2280,15.4,207,0,No Failure,3676.92,816.92,9.899999999999977
2081,2082,M16941,M,299.4,309.3,1485,47.1,209,0,No Failure,7324.47,4464.47,9.900000000000034
2082,2083,H31496,H,299.4,309.2,1513,36.1,212,0,No Failure,5719.72,2859.72,9.800000000000011
2083,2084,H31497,H,299.4,309.3,1743,28.2,0,0,No Failure,5147.25,2287.25,9.900000000000034
2084,2085,L49264,L,299.5,309.3,1442,46.2,5,0,No Failure,6976.47,4116.47,9.800000000000011
2085,2086,L49265,L,299.5,309.3,1462,46.7,7,0,No Failure,7149.78,4289.78,9.800000000000011
2086,2087,H31500,H,299.4,309.3,1439,49.7,9,0,No Failure,7489.38,4629.38,9.900000000000034
2087,2088,L49267,L,299.5,309.3,1577,36.6,14,0,No Failure,6044.24,3184.24,9.800000000000011
2088,2089,L49268,L,299.6,309.4,1331,46.4,16,0,No Failure,6467.32,3607.32,9.799999999999955
2089,2090,L49269,L,299.5,309.3,1941,22.5,18,0,No Failure,4573.37,1713.37,9.800000000000011
2090,2091,L49270,L,299.5,309.2,1393,47.3,20,0,No Failure,6899.87,4039.87,9.699999999999989
2091,2092,L49271,L,299.4,309.2,1433,42.1,22,0,No Failure,6317.67,3457.67,9.800000000000011
2092,2093,L49272,L,299.4,309.2,1444,48.2,24,0,No Failure,7288.58,4428.58,9.800000000000011
2093,2094,L49273,L,299.4,309.2,1564,39.0,26,0,No Failure,6387.49,3527.49,9.800000000000011
2094,2095,L49274,L,299.4,309.3,1377,43.6,28,0,No Failure,6287.08,3427.08,9.900000000000034
2095,2096,L49275,L,299.4,309.3,1525,41.5,30,0,No Failure,6627.45,3767.45,9.900000000000034
2096,2097,M16956,M,299.5,309.4,1387,56.2,32,0,No Failure,8162.84,5302.84,9.899999999999977
2097,2098,M16957,M,299.4,309.4,1326,47.5,35,0,No Failure,6595.77,3735.77,10.0
2098,2099,L49278,L,299.4,309.3,1401,59.0,38,0,No Failure,8656.03,5796.03,9.900000000000034
2099,2100,L49279,L,299.4,309.3,1596,31.8,40,0,No Failure,5314.82,2454.82,9.900000000000034
2100,2101,M16960,M,299.3,309.3,1471,46.0,42,0,No Failure,7085.97,4225.97,10.0
2101,2102,L49281,L,299.3,309.3,1528,37.8,45,0,No Failure,6048.45,3188.45,10.0
2102,2103,L49282,L,299.3,309.3,1325,62.0,47,0,No Failure,8602.73,5742.73,10.0
2103,2104,M16963,M,299.3,309.1,1376,46.7,49,0,No Failure,6729.21,3869.21,9.800000000000011
2104,2105,M16964,M,299.3,309.1,1600,35.3,52,0,No Failure,5914.57,3054.57,9.800000000000011
2105,2106,L49285,L,299.3,309.1,1495,44.0,55,0,No Failure,6888.47,4028.47,9.800000000000011
2106,2107,L49286,L,299.4,309.1,1645,28.6,57,0,No Failure,4926.75,2066.75,9.700000000000045
2107,2108,M16967,M,299.4,309.1,1417,47.3,59,0,No Failure,7018.75,4158.75,9.700000000000045
2108,2109,H31522,H,299.4,309.0,1415,51.7,62,0,No Failure,7660.83,4800.83,9.600000000000023
2109,2110,M16969,M,299.3,309.0,1496,43.4,67,0,No Failure,6799.08,3939.08,9.699999999999989
2110,2111,H31524,H,299.3,309.0,1508,35.0,70,0,No Failure,5527.11,2667.11,9.699999999999989
2111,2112,L49291,L,299.4,309.0,1436,47.9,75,0,No Failure,7203.09,4343.09,9.600000000000023
2112,2113,L49292,L,299.5,309.1,1852,22.6,77,0,No Failure,4383.07,1523.07,9.600000000000023
2113,2114,L49293,L,299.5,309.1,1863,22.5,79,0,No Failure,4389.59,1529.59,9.600000000000023
2114,2115,H31528,H,299.4,309.1,1373,44.1,81,0,No Failure,6340.71,3480.71,9.700000000000045
2115,2116,L49295,L,299.4,309.0,1404,47.3,86,0,No Failure,6954.36,4094.36,9.600000000000023
2116,2117,M16976,M,299.4,309.0,1381,44.9,88,0,No Failure,6493.35,3633.35,9.600000000000023
2117,2118,H31531,H,299.4,308.9,1762,29.3,91,0,No Failure,5406.32,2546.32,9.5
2118,2119,H31532,H,299.3,308.9,1429,43.0,96,0,No Failure,6434.71,3574.71,9.599999999999966
2119,2120,M16979,M,299.3,308.9,1858,24.7,101,0,No Failure,4805.86,1945.86,9.599999999999966
2120,2121,H31534,H,299.2,308.8,1908,21.3,104,0,No Failure,4255.85,1395.85,9.600000000000023
2121,2122,M16981,M,299.2,308.8,1503,37.4,109,0,No Failure,5886.53,3026.53,9.600000000000023
2122,2123,M16982,M,299.2,308.8,1523,38.9,112,0,No Failure,6204.09,3344.09,9.600000000000023
2123,2124,L49303,L,299.3,309.0,1491,38.4,115,0,No Failure,5995.67,3135.67,9.699999999999989
2124,2125,L49304,L,299.2,308.9,1430,39.1,117,0,No Failure,5855.2,2995.2,9.699999999999989
2125,2126,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure,9142.58,6282.58,9.599999999999966
2126,2127,L49306,L,299.3,309.0,1449,46.5,121,0,No Failure,7055.86,4195.86,9.699999999999989
2127,2128,H31541,H,299.3,309.0,1425,40.6,123,0,No Failure,6058.56,3198.56,9.699999999999989
2128,2129,L49308,L,299.4,309.0,1800,24.3,128,0,No Failure,4580.44,1720.44,9.600000000000023
2129,2130,H31543,H,299.4,309.0,1607,33.7,130,0,No Failure,5671.19,2811.19,9.600000000000023
2130,2131,L49310,L,299.4,309.0,1391,58.2,135,0,No Failure,8477.71,5617.71,9.600000000000023
2131,2132,L49311,L,299.4,309.1,1432,45.4,137,0,No Failure,6808.12,3948.12,9.700000000000045
2132,2133,L49312,L,299.4,309.0,1660,28.4,139,0,No Failure,4936.91,2076.91,9.600000000000023
2133,2134,H31547,H,299.3,309.0,1732,29.7,141,0,No Failure,5386.83,2526.83,9.699999999999989
2134,2135,L49314,L,299.3,309.0,1473,46.3,146,0,No Failure,7141.88,4281.88,9.699999999999989
2135,2136,L49315,L,299.3,309.0,1511,47.8,148,0,No Failure,7563.47,4703.47,9.699999999999989
2136,2137,L49316,L,299.2,308.9,1588,41.5,150,0,No Failure,6901.24,4041.24,9.699999999999989
2137,2138,L49317,L,299.3,308.9,1623,31.1,152,0,No Failure,5285.76,2425.76,9.599999999999966
2138,2139,L49318,L,299.3,309.0,1734,30.6,154,0,No Failure,5556.47,2696.47,9.699999999999989
2139,2140,L49319,L,299.3,309.0,1415,47.6,156,0,No Failure,7053.29,4193.29,9.699999999999989
2140,2141,L49320,L,299.3,309.0,1419,46.6,158,0,No Failure,6924.64,4064.64,9.699999999999989
2141,2142,M17001,M,299.3,308.9,1577,34.9,160,0,No Failure,5763.49,2903.49,9.599999999999966
2142,2143,L49322,L,299.3,308.9,1376,60.3,163,0,No Failure,8688.89,5828.89,9.599999999999966
2143,2144,M17003,M,299.3,308.8,1442,49.0,165,0,No Failure,7399.29,4539.29,9.5
2144,2145,L49324,L,299.4,308.9,1451,40.5,168,0,No Failure,6153.91,3293.91,9.5
2145,2146,L49325,L,299.3,308.8,1550,45.8,170,0,No Failure,7434.06,4574.06,9.5
2146,2147,L49326,L,299.3,308.8,1647,32.9,172,0,No Failure,5674.38,2814.38,9.5
2147,2148,L49327,L,299.4,308.9,1550,33.7,174,0,No Failure,5470.04,2610.04,9.5
2148,2149,L49328,L,299.4,308.9,1583,34.1,176,0,No Failure,5652.8,2792.8,9.5
2149,2150,L49329,L,299.4,309.0,1613,32.2,178,0,No Failure,5439.0,2579.0,9.600000000000023
2150,2151,H31564,H,299.3,308.8,1636,35.5,180,0,No Failure,6081.91,3221.91,9.5
2151,2152,M17011,M,299.3,308.7,1289,51.5,185,0,No Failure,6951.66,4091.66,9.399999999999977
2152,2153,M17012,M,299.3,308.8,1648,28.4,188,0,No Failure,4901.22,2041.22,9.5
2153,2154,H31567,H,299.3,308.8,1397,45.4,191,0,No Failure,6641.72,3781.72,9.5
2154,2155,M17014,M,299.3,308.9,1767,24.8,196,0,No Failure,4588.99,1728.99,9.599999999999966
2155,2156,L49335,L,299.3,308.8,1341,47.7,199,0,No Failure,6698.47,3838.47,9.5
2156,2157,M17016,M,299.4,308.9,1457,41.5,201,0,No Failure,6331.93,3471.93,9.5
2157,2158,M17017,M,299.4,309.0,1939,19.8,204,0,No Failure,4020.42,1160.42,9.600000000000023
2158,2159,M17018,M,299.5,309.0,1399,49.7,207,0,No Failure,7281.2,4421.2,9.5
2159,2160,M17019,M,299.5,309.0,1602,31.3,210,0,No Failure,5250.92,2390.92,9.5
2160,2161,L49340,L,299.4,309.0,1507,41.0,213,0,No Failure,6470.32,3610.32,9.600000000000023
2161,2162,L49341,L,299.4,309.1,1464,40.5,215,0,No Failure,6209.04,3349.04,9.700000000000045
2162,2163,L49342,L,299.5,309.1,1336,42.1,217,0,No Failure,5890.03,3030.03,9.600000000000023
2163,2164,L49343,L,299.6,309.2,1422,39.8,219,0,No Failure,5926.68,3066.68,9.599999999999966
2164,2165,L49344,L,299.6,309.2,1540,36.7,221,0,No Failure,5918.55,3058.55,9.599999999999966
2165,2166,L49345,L,299.5,309.1,1476,47.8,223,0,No Failure,7388.27,4528.27,9.600000000000023
2166,2167,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure,4574.98,1714.98,9.599999999999966
2167,2168,H31581,H,299.6,309.1,1588,41.3,0,0,No Failure,6867.98,4007.98,9.5
2168,2169,M17028,M,299.5,309.1,1420,49.5,5,0,No Failure,7360.75,4500.75,9.600000000000023
2169,2170,L49349,L,299.5,309.1,1415,49.2,8,0,No Failure,7290.38,4430.38,9.600000000000023
2170,2171,M17030,M,299.4,309.1,1500,43.3,10,0,No Failure,6801.55,3941.55,9.700000000000045
2171,2172,L49351,L,299.5,309.1,1502,44.6,13,0,No Failure,7015.09,4155.09,9.600000000000023
2172,2173,L49352,L,299.5,309.2,1816,23.0,15,0,No Failure,4373.93,1513.93,9.699999999999989
2173,2174,M17033,M,299.5,309.2,1495,41.6,17,0,No Failure,6512.73,3652.73,9.699999999999989
2174,2175,L49354,L,299.6,309.2,1572,33.4,20,0,No Failure,5498.29,2638.29,9.599999999999966
2175,2176,M17035,M,299.5,309.2,1590,35.9,22,0,No Failure,5977.51,3117.51,9.699999999999989
2176,2177,M17036,M,299.6,309.3,1387,48.3,25,0,No Failure,7015.4,4155.4,9.699999999999989
2177,2178,M17037,M,299.6,309.2,1393,47.7,28,0,No Failure,6958.22,4098.22,9.599999999999966
2178,2179,L49358,L,299.6,309.2,1602,37.3,31,0,No Failure,6257.49,3397.49,9.599999999999966
2179,2180,L49359,L,299.6,309.2,1601,33.3,33,0,No Failure,5582.96,2722.96,9.599999999999966
2180,2181,H31594,H,299.6,309.2,1597,36.3,35,0,No Failure,6070.72,3210.72,9.599999999999966
2181,2182,H31595,H,299.5,309.1,1548,44.3,40,0,No Failure,7181.3,4321.3,9.600000000000023
2182,2183,M17042,M,299.5,309.2,1314,61.8,45,0,No Failure,8503.79,5643.79,9.699999999999989
2183,2184,M17043,M,299.6,309.3,1577,39.8,48,0,No Failure,6572.69,3712.69,9.699999999999989
2184,2185,L49364,L,299.8,309.4,1475,43.4,51,0,No Failure,6703.64,3843.64,9.599999999999966
2185,2186,L49365,L,299.8,309.4,1630,32.4,53,0,No Failure,5530.46,2670.46,9.599999999999966
2186,2187,L49366,L,299.7,309.4,1445,42.9,55,0,No Failure,6491.63,3631.63,9.699999999999989
2187,2188,M17047,M,299.8,309.4,1439,47.4,57,0,No Failure,7142.79,4282.79,9.599999999999966
2188,2189,L49368,L,299.7,309.3,1420,44.1,60,0,No Failure,6557.76,3697.76,9.600000000000023
2189,2190,H31603,H,299.7,309.2,1554,41.6,62,0,No Failure,6769.76,3909.76,9.5
2190,2191,M17050,M,299.6,309.1,1471,44.3,67,0,No Failure,6824.09,3964.09,9.5
2191,2192,L49371,L,299.6,309.0,1648,33.6,70,0,No Failure,5798.63,2938.63,9.399999999999977
2192,2193,L49372,L,299.6,309.0,1472,48.8,72,0,No Failure,7522.4,4662.4,9.399999999999977
2193,2194,M17053,M,299.5,308.9,1448,42.9,74,0,No Failure,6505.11,3645.11,9.399999999999977
2194,2195,M17054,M,299.6,308.9,1568,35.3,77,0,No Failure,5796.28,2936.28,9.299999999999955
2195,2196,L49375,L,299.6,308.9,1613,30.8,80,0,No Failure,5202.52,2342.52,9.299999999999955
2196,2197,M17056,M,299.7,308.9,1551,35.4,82,0,No Failure,5749.68,2889.68,9.199999999999989
2197,2198,L49377,L,299.7,309.0,1412,49.2,85,0,No Failure,7274.92,4414.92,9.300000000000011
2198,2199,M17058,M,299.7,308.9,1478,41.0,87,0,No Failure,6345.81,3485.81,9.199999999999989
2199,2200,M17059,M,299.8,309.1,1268,58.0,90,0,No Failure,7701.51,4841.51,9.300000000000011
2200,2201,L49380,L,299.8,309.1,1546,35.6,93,0,No Failure,5763.52,2903.52,9.300000000000011
2201,2202,L49381,L,299.8,309.0,1567,36.1,95,0,No Failure,5923.86,3063.86,9.199999999999989
2202,2203,M17062,M,299.9,309.2,1548,35.7,97,0,No Failure,5787.19,2927.19,9.300000000000011
2203,2204,L49383,L,299.8,309.0,1614,30.8,100,0,No Failure,5205.74,2345.74,9.199999999999989
2204,2205,M17064,M,299.7,309.1,1352,46.1,102,0,No Failure,6526.89,3666.89,9.400000000000034
2205,2206,L49385,L,299.9,309.2,1624,34.6,105,0,No Failure,5884.24,3024.24,9.300000000000011
2206,2207,L49386,L,299.9,309.2,1436,52.0,107,0,No Failure,7819.63,4959.63,9.300000000000011
2207,2208,L49387,L,299.8,309.2,1591,37.5,109,0,No Failure,6247.84,3387.84,9.399999999999977
2208,2209,H31622,H,299.8,309.2,1435,42.6,111,0,No Failure,6401.62,3541.62,9.399999999999977
2209,2210,L49389,L,299.8,309.3,1386,49.4,116,0,No Failure,7169.99,4309.99,9.5
2210,2211,L49390,L,299.7,309.2,1401,54.1,118,0,No Failure,7937.14,5077.14,9.5
2211,2212,M17071,M,299.6,309.0,1245,64.0,120,0,No Failure,8344.07,5484.07,9.399999999999977
2212,2213,L49392,L,299.7,309.1,1475,40.0,123,0,No Failure,6178.47,3318.47,9.400000000000034
2213,2214,L49393,L,299.7,309.1,1473,39.4,125,0,No Failure,6077.54,3217.54,9.400000000000034
2214,2215,H31628,H,299.7,309.2,1355,44.8,127,0,No Failure,6356.91,3496.91,9.5
2215,2216,H31629,H,299.7,309.2,1468,49.6,132,0,No Failure,7624.94,4764.94,9.5
2216,2217,L49396,L,299.7,309.2,1645,30.8,137,0,No Failure,5305.73,2445.73,9.5
2217,2218,L49397,L,299.7,309.1,1347,55.3,139,0,No Failure,7800.48,4940.48,9.400000000000034
2218,2219,L49398,L,299.7,309.1,1713,33.5,141,0,No Failure,6009.4,3149.4,9.400000000000034
2219,2220,M17079,M,299.6,309.1,1435,48.4,143,0,No Failure,7273.21,4413.21,9.5
2220,2221,M17080,M,299.6,309.0,1736,26.1,146,0,No Failure,4744.81,1884.81,9.399999999999977
2221,2222,L49401,L,299.6,309.0,1372,60.4,149,0,No Failure,8678.0,5818.0,9.399999999999977
2222,2223,L49402,L,299.7,309.0,1605,33.0,151,0,No Failure,5546.48,2686.48,9.300000000000011
2223,2224,L49403,L,299.6,309.0,1413,48.5,153,0,No Failure,7176.5,4316.5,9.399999999999977
2224,2225,M17084,M,299.7,309.0,1645,31.9,155,0,No Failure,5495.22,2635.22,9.300000000000011
2225,2226,M17085,M,299.7,309.0,1465,49.0,158,0,No Failure,7517.31,4657.31,9.300000000000011
2226,2227,M17086,M,299.6,308.9,1685,27.8,161,0,No Failure,4905.39,2045.39,9.299999999999955
2227,2228,L49407,L,299.5,308.8,1965,20.4,164,0,No Failure,4197.8,1337.8,9.300000000000011
2228,2229,H31642,H,299.4,308.6,1542,41.8,166,0,No Failure,6749.77,3889.77,9.200000000000045
2229,2230,L49409,L,299.4,308.7,1681,30.8,171,0,No Failure,5421.84,2561.84,9.300000000000011
2230,2231,L49410,L,299.5,308.7,1446,45.7,173,0,No Failure,6920.11,4060.11,9.199999999999989
2231,2232,L49411,L,299.4,308.6,1415,56.4,175,0,No Failure,8357.26,5497.26,9.200000000000045
2232,2233,L49412,L,299.5,308.6,1672,30.5,177,0,No Failure,5340.29,2480.29,9.100000000000023
2233,2234,L49413,L,299.5,308.7,2549,13.0,179,1,Power Failure,3470.1,610.1,9.199999999999989
2234,2235,L49414,L,299.4,308.6,1492,40.5,181,0,No Failure,6327.8,3467.8,9.200000000000045
2235,2236,M17095,M,299.4,308.6,1455,42.7,183,0,No Failure,6506.08,3646.08,9.200000000000045
2236,2237,M17096,M,299.3,308.5,1422,43.1,186,0,No Failure,6418.09,3558.09,9.199999999999989
2237,2238,L49417,L,299.3,308.6,1403,50.6,189,0,No Failure,7434.24,4574.24,9.300000000000011
2238,2239,L49418,L,299.3,308.6,1474,49.6,191,0,No Failure,7656.1,4796.1,9.300000000000011
2239,2240,L49419,L,299.2,308.6,1381,50.0,193,0,No Failure,7230.9,4370.9,9.400000000000034
2240,2241,L49420,L,299.2,308.5,1457,44.7,195,0,No Failure,6820.18,3960.18,9.300000000000011
2241,2242,L49421,L,299.2,308.4,1711,28.9,197,0,No Failure,5178.17,2318.17,9.199999999999989
2242,2243,L49422,L,299.2,308.4,1667,29.0,199,0,No Failure,5062.47,2202.47,9.199999999999989
2243,2244,L49423,L,299.2,308.4,1465,35.0,201,0,No Failure,5369.51,2509.51,9.199999999999989
2244,2245,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure,6055.42,3195.42,9.099999999999966
2245,2246,M17105,M,299.3,308.4,1438,42.3,0,0,No Failure,6369.83,3509.83,9.099999999999966
2246,2247,L49426,L,299.3,308.4,1406,47.4,3,0,No Failure,6978.99,4118.99,9.099999999999966
2247,2248,M17107,M,299.2,308.4,1396,48.5,5,0,No Failure,7090.16,4230.16,9.199999999999989
2248,2249,M17108,M,299.3,308.5,1304,60.6,8,0,No Failure,8275.21,5415.21,9.199999999999989
2249,2250,L49429,L,299.2,308.5,1442,46.5,11,0,No Failure,7021.77,4161.77,9.300000000000011
2250,2251,M17110,M,299.2,308.4,1396,48.7,13,0,No Failure,7119.39,4259.39,9.199999999999989
2251,2252,H31665,H,299.1,308.3,1424,43.4,16,0,No Failure,6471.85,3611.85,9.199999999999989
2252,2253,H31666,H,299.1,308.3,1451,42.8,21,0,No Failure,6503.39,3643.39,9.199999999999989
2253,2254,L49433,L,299.2,308.4,1386,54.1,26,0,No Failure,7852.16,4992.16,9.199999999999989
2254,2255,L49434,L,299.1,308.3,1325,46.9,28,0,No Failure,6507.55,3647.55,9.199999999999989
2255,2256,L49435,L,299.1,308.3,1559,33.7,30,0,No Failure,5501.8,2641.8,9.199999999999989
2256,2257,L49436,L,299.1,308.3,1489,38.1,32,0,No Failure,5940.85,3080.85,9.199999999999989
2257,2258,L49437,L,299.1,308.3,1892,25.2,34,0,No Failure,4992.87,2132.87,9.199999999999989
2258,2259,L49438,L,299.1,308.2,1319,60.3,36,0,No Failure,8328.96,5468.96,9.099999999999966
2259,2260,L49439,L,299.1,308.3,1431,52.3,38,0,No Failure,7837.36,4977.36,9.199999999999989
2260,2261,H31674,H,299.1,308.3,1521,36.5,40,0,No Failure,5813.67,2953.67,9.199999999999989
2261,2262,M17121,M,299.1,308.2,1435,45.2,45,0,No Failure,6792.33,3932.33,9.099999999999966
2262,2263,L49442,L,299.1,308.3,1533,42.4,48,0,No Failure,6806.7,3946.7,9.199999999999989
2263,2264,M17123,M,299.2,308.4,1529,43.0,50,0,No Failure,6885.01,4025.01,9.199999999999989
2264,2265,M17124,M,299.2,308.4,1415,43.5,53,0,No Failure,6445.76,3585.76,9.199999999999989
2265,2266,M17125,M,299.2,308.4,1330,51.2,56,0,No Failure,7131.0,4271.0,9.199999999999989
2266,2267,L49446,L,299.2,308.5,1381,60.6,59,0,No Failure,8763.85,5903.85,9.300000000000011
2267,2268,L49447,L,299.2,308.5,1370,52.4,61,0,No Failure,7517.62,4657.62,9.300000000000011
2268,2269,L49448,L,299.2,308.5,1438,46.6,63,0,No Failure,7017.35,4157.35,9.300000000000011
2269,2270,L49449,L,299.3,308.6,1314,48.2,65,0,No Failure,6632.4,3772.4,9.300000000000011
2270,2271,L49450,L,299.3,308.6,1437,48.1,67,0,No Failure,7238.2,4378.2,9.300000000000011
2271,2272,L49451,L,299.2,308.5,1821,26.1,69,0,No Failure,4977.13,2117.13,9.300000000000011
2272,2273,M17132,M,299.3,308.6,1448,52.1,71,0,No Failure,7900.14,5040.14,9.300000000000011
2273,2274,L49453,L,299.3,308.5,1589,32.7,74,0,No Failure,5441.27,2581.27,9.199999999999989
2274,2275,L49454,L,299.3,308.6,1520,33.7,76,0,No Failure,5364.16,2504.16,9.300000000000011
