,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature,Rotation per torque,Torque per Rotation,Tool wear per Rotation,Tool wear per torque,Tool wear per power
1322,1323,H30736,H,298.9,310.1,1452,49.9,187,0,No Failure,7587.45,4727.45,5.600000000000023,29.09819639278557,0.034366391184573,0.12878787878787878,3.74749498997996,0.024645961423139528
1323,1324,L48503,L,298.9,310.1,1361,51.7,192,0,No Failure,7368.47,4508.47,5.600000000000023,26.32495164410058,0.037986774430565765,0.14107274063188832,3.713733075435203,0.026056969764415135
1324,1325,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure,9697.42,6837.42,5.650000000000006,16.684563758389263,0.059935639581657284,0.15607401448109412,2.6040268456375837,0.02000532100290593
1325,1326,H30739,H,298.8,310.1,1567,36.8,197,0,No Failure,6038.73,3178.73,5.650000000000006,42.58152173913044,0.023484365028717293,0.12571793235481812,5.353260869565218,0.032622753459750645
1326,1327,L48506,L,298.9,310.2,1411,46.5,202,0,No Failure,6870.82,4010.82,5.650000000000006,30.344086021505376,0.032955350815024806,0.14316087880935507,4.344086021505376,0.029399693195280914
1327,1328,L48507,L,298.8,310.2,1814,26.8,204,0,No Failure,5090.97,2230.97,5.699999999999989,67.68656716417911,0.014773980154355017,0.11245865490628446,7.611940298507463,0.040070949151144085
1328,1329,M16188,M,298.8,310.1,1719,28.8,206,0,No Failure,5184.38,2324.38,5.650000000000006,59.6875,0.016753926701570682,0.1198371146015125,7.152777777777778,0.039734741666313037
1329,1330,H30743,H,298.8,310.2,1663,30.4,209,0,No Failure,5294.13,2434.13,5.699999999999989,54.703947368421055,0.018280216476247745,0.12567648827420325,6.875,0.03947768566317789
1330,1331,L48510,L,298.9,310.2,1696,30.2,214,0,No Failure,5363.66,2503.66,5.650000000000006,56.158940397350996,0.017806603773584905,0.12617924528301888,7.086092715231788,0.039898129262481215
1331,1332,H30745,H,298.9,310.2,1771,26.8,216,0,No Failure,4970.29,2110.29,5.650000000000006,66.0820895522388,0.01513269339356296,0.12196499153020893,8.059701492537313,0.04345822879550288
1332,1333,L48512,L,299.0,310.3,1868,24.0,221,0,No Failure,4694.8,1834.8,5.650000000000006,77.83333333333333,0.01284796573875803,0.1183083511777302,9.208333333333334,0.047073357757518954
1333,1334,M16193,M,299.0,310.3,1558,35.4,223,0,No Failure,5775.63,2915.63,5.650000000000006,44.01129943502825,0.022721437740693195,0.14313222079589216,6.299435028248588,0.03861050655945758
1334,1335,L48514,L,299.0,310.4,1365,49.1,226,1,Overstrain Failure,7018.48,4158.48,5.699999999999989,27.80040733197556,0.03597069597069597,0.16556776556776556,4.60285132382892,0.03220070442602957
1335,1336,L48515,L,299.0,310.4,1371,53.8,228,1,Overstrain Failure,7724.11,4864.11,5.699999999999989,25.483271375464685,0.03924142961342086,0.16630196936542668,4.237918215613383,0.029517963881922966
1336,1337,L48516,L,298.9,310.3,1583,32.6,230,0,No Failure,5404.15,2544.15,5.700000000000017,48.558282208588956,0.020593809222994315,0.14529374605180037,7.0552147239263805,0.04255988453318284
1337,1338,H30751,H,298.7,310.2,1613,36.0,0,0,No Failure,6080.87,3220.87,5.75,44.80555555555556,0.022318660880347178,0.0,0.0,0.0
1338,1339,L48518,L,298.6,310.1,1721,27.2,5,0,No Failure,4902.06,2042.06,5.75,63.27205882352941,0.015804764671702498,0.002905287623474724,0.18382352941176472,0.0010199793556178423
1339,1340,M16199,M,298.6,310.2,1668,31.5,7,0,No Failure,5502.19,2642.19,5.799999999999983,52.95238095238095,0.018884892086330936,0.004196642685851319,0.2222222222222222,0.0012722206975767831
1340,1341,L48520,L,298.6,310.2,1569,36.3,10,0,No Failure,5964.28,3104.28,5.799999999999983,43.223140495867774,0.023135755258126195,0.006373486297004461,0.27548209366391185,0.0016766483129564676
1341,1342,M16201,M,298.6,310.2,1328,50.5,12,0,No Failure,7022.93,4162.93,5.799999999999983,26.297029702970296,0.03802710843373494,0.009036144578313253,0.2376237623762376,0.001708688538829235
1342,1343,M16202,M,298.6,310.1,1596,33.0,15,0,No Failure,5515.38,2655.38,5.75,48.36363636363637,0.020676691729323307,0.009398496240601503,0.45454545454545453,0.002719667547838952
1343,1344,L48523,L,298.5,310.2,1676,32.7,18,0,No Failure,5739.19,2879.19,5.849999999999994,51.25382262996941,0.01951073985680191,0.010739856801909307,0.5504587155963302,0.003136331085048587
1344,1345,L48524,L,298.5,310.1,1809,28.9,20,0,No Failure,5474.76,2614.76,5.800000000000011,62.59515570934256,0.01597567716970702,0.01105583195135434,0.6920415224913495,0.0036531281736551006
1345,1346,L48525,L,298.5,310.0,1804,26.1,22,0,No Failure,4930.67,2070.67,5.75,69.11877394636015,0.014467849223946786,0.012195121951219513,0.842911877394636,0.004461868265367587
1346,1347,L48526,L,298.6,310.1,1533,33.9,24,0,No Failure,5442.15,2582.15,5.75,45.2212389380531,0.02211350293542074,0.015655577299412915,0.7079646017699115,0.004410021774482512
1347,1348,L48527,L,298.7,310.2,1717,27.3,26,0,No Failure,4908.64,2048.64,5.75,62.89377289377289,0.015899825276645314,0.015142690739662202,0.9523809523809523,0.005296782815606767
1348,1349,L48528,L,298.7,310.2,1363,45.5,28,0,No Failure,6494.35,3634.35,5.75,29.956043956043956,0.03338224504768892,0.020542920029347028,0.6153846153846154,0.00431143994395128
1349,1350,L48529,L,298.7,310.2,1402,45.9,30,0,No Failure,6738.9,3878.9,5.75,30.544662309368192,0.032738944365192583,0.021398002853067047,0.6535947712418301,0.004451765124872012
1350,1351,L48530,L,298.7,310.2,1436,47.5,32,0,No Failure,7142.93,4282.93,5.75,30.231578947368423,0.03307799442896936,0.022284122562674095,0.6736842105263158,0.004479954304466094
1351,1352,L48531,L,298.7,310.2,1525,43.7,34,0,No Failure,6978.79,4118.79,5.75,34.89702517162471,0.028655737704918034,0.022295081967213116,0.7780320366132722,0.004871904728470122
1352,1353,M16212,M,298.7,310.2,1598,33.3,36,0,No Failure,5572.49,2712.49,5.75,47.98798798798799,0.020838548185231537,0.02252816020025031,1.0810810810810811,0.006460307690099041
1353,1354,M16213,M,298.6,310.1,1444,48.1,39,0,No Failure,7273.46,4413.46,5.75,30.02079002079002,0.03331024930747922,0.027008310249307478,0.8108108108108107,0.005361959782551908
1354,1355,L48534,L,298.6,310.0,1334,48.0,42,0,No Failure,6705.42,3845.42,5.699999999999989,27.791666666666668,0.035982008995502246,0.031484257871064465,0.875,0.0062635897527671645
1355,1356,M16215,M,298.6,310.0,1681,35.5,44,0,No Failure,6249.2,3389.2,5.699999999999989,47.352112676056336,0.021118381915526473,0.026174895895300417,1.2394366197183098,0.007040901235358126
1356,1357,L48536,L,298.6,309.9,1593,37.4,47,0,No Failure,6239.01,3379.01,5.649999999999977,42.593582887700535,0.023477715003138732,0.029504080351537978,1.2566844919786098,0.007533246460576277
1357,1358,L48537,L,298.6,309.9,1461,45.7,49,0,No Failure,6991.9,4131.9,5.649999999999977,31.96936542669584,0.03127994524298426,0.03353867214236824,1.0722100656455142,0.0070081093837154424
1358,1359,M16218,M,298.7,310.1,1693,31.9,51,0,No Failure,5655.57,2795.57,5.700000000000017,53.07210031347962,0.018842291789722385,0.030124040165386886,1.5987460815047023,0.009017658697531815
1359,1360,L48539,L,298.7,310.2,1404,50.3,54,0,No Failure,7395.43,4535.43,5.75,27.912524850894634,0.035826210826210826,0.038461538461538464,1.0735586481113322,0.00730180665627286
1360,1361,H30774,H,298.8,310.2,1707,27.6,56,0,No Failure,4933.68,2073.68,5.699999999999989,61.847826086956516,0.01616871704745167,0.032806092560046865,2.0289855072463765,0.011350553744871981
1361,1362,M16221,M,298.6,310.1,1458,41.9,61,0,No Failure,6397.35,3537.35,5.75,34.79713603818616,0.028737997256515775,0.04183813443072702,1.4558472553699284,0.009535198167991433
1362,1363,L48542,L,298.6,310.0,1517,41.2,64,0,No Failure,6545.03,3685.03,5.699999999999989,36.82038834951456,0.027158866183256428,0.04218852999340804,1.5533980582524272,0.009778412016446067
1363,1364,L48543,L,298.7,310.1,1433,54.6,66,0,No Failure,8193.46,5333.46,5.700000000000017,26.245421245421245,0.03810188415910677,0.046057222609909285,1.2087912087912087,0.008055205004967377
1364,1365,L48544,L,298.7,310.2,1566,33.1,68,0,No Failure,5428.11,2568.11,5.75,47.311178247734134,0.021136653895274585,0.04342273307790549,2.0543806646525677,0.012527380616826116
1365,1366,L48545,L,298.7,310.1,1676,33.5,70,0,No Failure,5879.6,3019.6,5.700000000000017,50.02985074626866,0.019988066825775655,0.041766109785202864,2.08955223880597,0.011905571807605958
1366,1367,M16226,M,298.7,310.1,1368,56.8,72,0,No Failure,8136.98,5276.98,5.700000000000017,24.084507042253524,0.041520467836257305,0.05263157894736842,1.267605633802817,0.00884849170085216
1367,1368,M16227,M,298.8,310.2,1581,37.5,75,0,No Failure,6208.57,3348.57,5.699999999999989,42.16,0.023719165085388995,0.04743833017077799,2.0,0.01208007641050999
1368,1369,H30782,H,298.8,310.3,1708,27.1,78,0,No Failure,4847.14,1987.14,5.75,63.02583025830258,0.015866510538641687,0.04566744730679157,2.8782287822878225,0.016091963508378136
1369,1370,M16229,M,298.7,310.3,1481,41.5,83,0,No Failure,6436.23,3576.23,5.800000000000011,35.68674698795181,0.028021607022282242,0.056043214044564485,2.0,0.012895747976688217
1370,1371,L48550,L,298.7,310.3,1451,40.0,86,0,No Failure,6077.93,3217.93,5.800000000000011,36.275,0.027567195037904894,0.059269469331495524,2.15,0.014149554206777637
1371,1372,M16231,M,298.7,310.3,1495,38.7,88,0,No Failure,6058.72,3198.72,5.800000000000011,38.63049095607235,0.025886287625418062,0.0588628762541806,2.2739018087855296,0.014524520030633533
1372,1373,M16232,M,298.8,310.3,1573,41.8,91,0,No Failure,6885.47,4025.47,5.75,37.631578947368425,0.02657342657342657,0.05785123966942149,2.1770334928229667,0.013216236509635507
1373,1374,M16233,M,298.8,310.3,1366,59.0,94,0,No Failure,8439.78,5579.78,5.75,23.152542372881356,0.04319180087847731,0.06881405563689605,1.5932203389830508,0.011137731078298248
1374,1375,L48554,L,298.8,310.3,1553,36.8,97,0,No Failure,5984.78,3124.78,5.75,42.20108695652174,0.02369607211848036,0.062459755312298776,2.6358695652173916,0.016207780402955497
1375,1376,M16235,M,298.8,310.3,1528,37.1,99,0,No Failure,5936.44,3076.44,5.75,41.18598382749326,0.024280104712041884,0.06479057591623037,2.6684636118598384,0.0166766614334517
1376,1377,M16236,M,298.8,310.2,1527,31.2,102,0,No Failure,4989.1,2129.1,5.699999999999989,48.94230769230769,0.02043222003929273,0.06679764243614932,3.269230769230769,0.02044456916077048
1377,1378,L48557,L,298.8,310.2,1461,46.7,105,0,No Failure,7144.89,4284.89,5.699999999999989,31.284796573875802,0.031964407939767285,0.07186858316221766,2.248394004282655,0.014695817570319486
1378,1379,H30792,H,298.8,310.2,1455,44.9,107,0,No Failure,6841.29,3981.29,5.699999999999989,32.40534521158129,0.03085910652920962,0.07353951890034365,2.3830734966592426,0.015640325143357465
1379,1380,L48559,L,298.7,310.1,1620,34.8,112,0,No Failure,5903.68,3043.68,5.700000000000017,46.55172413793104,0.02148148148148148,0.0691358024691358,3.218390804597701,0.018971217952192528
1380,1381,L48560,L,298.7,310.1,1786,27.7,114,0,No Failure,5180.72,2320.72,5.700000000000017,64.47653429602889,0.015509518477043672,0.06382978723404255,4.115523465703971,0.022004663444463318
1381,1382,M16241,M,298.8,310.2,1583,35.7,116,0,No Failure,5918.04,3058.04,5.699999999999989,44.34173669467787,0.022552116234996842,0.07327858496525584,3.2492997198879547,0.01960108414272293
1382,1383,L48562,L,298.8,310.1,1653,30.3,119,0,No Failure,5244.98,2384.98,5.650000000000006,54.554455445544555,0.018330308529945553,0.07199032062915911,3.927392739273927,0.022688361061433984
1383,1384,M16243,M,298.9,310.2,1331,49.0,121,0,No Failure,6829.72,3969.72,5.650000000000006,27.163265306122447,0.03681442524417731,0.09090909090909091,2.4693877551020407,0.017716685310671592
1384,1385,L48564,L,298.9,310.3,1484,43.8,124,0,No Failure,6806.7,3946.7,5.700000000000017,33.881278538812786,0.029514824797843665,0.08355795148247978,2.8310502283105023,0.018217344675099535
1385,1386,M16245,M,298.9,310.2,1603,36.1,126,0,No Failure,6059.95,3199.95,5.650000000000006,44.40443213296399,0.022520274485339987,0.07860262008733625,3.490304709141274,0.020792250761144895
1386,1387,L48566,L,298.9,310.2,1445,40.0,129,0,No Failure,6052.8,3192.8,5.650000000000006,36.125,0.02768166089965398,0.08927335640138408,3.225,0.021312450436161777
1387,1388,L48567,L,298.9,310.1,1823,26.1,131,0,No Failure,4982.6,2122.6,5.600000000000023,69.84674329501915,0.014317059791552386,0.0718595721338453,5.019157088122605,0.026291494400513787
1388,1389,H30802,H,298.9,310.1,1491,45.3,133,0,No Failure,7073.01,4213.01,5.600000000000023,32.913907284768214,0.030382293762575452,0.0892018779342723,2.9359823399558502,0.018803875577724335
1389,1390,L48569,L,298.9,310.2,1533,42.8,138,0,No Failure,6870.91,4010.91,5.650000000000006,35.8177570093458,0.0279191128506197,0.09001956947162426,3.2242990654205608,0.02008467582896589
1390,1391,L48570,L,298.9,310.2,1409,54.8,140,0,No Failure,8085.75,5225.75,5.650000000000006,25.71167883211679,0.038892831795599714,0.099361249112846,2.5547445255474455,0.01731441115542776
1391,1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure,2522.24,-337.76,5.650000000000006,311.02272727272725,0.0032151991231275123,0.05188162221410303,16.136363636363637,0.05629916264907384
1392,1393,M16252,M,299.0,310.3,1494,46.6,144,0,No Failure,7290.63,4430.63,5.650000000000006,32.06008583690987,0.031191432396251675,0.0963855421686747,3.0901287553648067,0.01975137951041268
1393,1394,L48573,L,299.1,310.4,1594,33.3,147,0,No Failure,5558.55,2698.55,5.649999999999977,47.86786786786787,0.020890840652446674,0.09222082810539524,4.414414414414415,0.026445745743044497
1394,1395,L48574,L,299.1,310.4,1527,44.0,149,0,No Failure,7035.91,4175.91,5.649999999999977,34.70454545454545,0.028814669286182055,0.09757694826457106,3.3863636363636362,0.021177075886416968
1395,1396,L48575,L,299.1,310.4,1452,39.7,151,0,No Failure,6036.51,3176.51,5.649999999999977,36.57430730478589,0.027341597796143254,0.10399449035812672,3.80352644836272,0.025014453715805986
1396,1397,L48576,L,299.0,310.3,1483,39.2,153,0,No Failure,6087.74,3227.74,5.650000000000006,37.83163265306122,0.026432906271072153,0.10316925151719487,3.9030612244897958,0.0251324793765831
1397,1398,L48577,L,299.1,310.2,1569,38.2,155,0,No Failure,6276.46,3416.46,5.549999999999983,41.073298429319365,0.024346717654557044,0.09878903760356915,4.057591623036649,0.024695449345650256
1398,1399,L48578,L,299.1,310.3,1472,46.6,157,0,No Failure,7183.27,4323.27,5.599999999999994,31.587982832618025,0.03165760869565217,0.10665760869565218,3.369098712446352,0.02185634119279938
1399,1400,L48579,L,299.0,310.2,1533,43.5,159,0,No Failure,6983.29,4123.29,5.599999999999994,35.241379310344826,0.02837573385518591,0.10371819960861056,3.6551724137931036,0.02276863770515044
1400,1401,H30814,H,298.9,310.1,1366,62.7,161,0,No Failure,8969.06,6109.06,5.600000000000023,21.786283891547047,0.045900439238653,0.11786237188872621,2.5677830940988833,0.01795059905943321
1401,1402,H30815,H,298.9,310.2,1532,37.7,166,0,No Failure,6048.24,3188.24,5.650000000000006,40.636604774535805,0.024608355091383812,0.10835509138381201,4.403183023872678,0.02744600082007328
1402,1403,M16262,M,298.9,310.1,1313,56.8,171,0,No Failure,7809.83,4949.83,5.600000000000023,23.116197183098592,0.043259710586443255,0.13023610053313023,3.0105633802816905,0.021895483000270173
1403,1404,L48583,L,299.0,310.2,1372,48.0,174,0,No Failure,6896.42,4036.42,5.599999999999994,28.583333333333332,0.03498542274052478,0.12682215743440234,3.625,0.02523048190220433
1404,1405,M16264,M,298.9,310.1,1555,40.6,176,0,No Failure,6611.27,3751.27,5.600000000000023,38.30049261083744,0.026109324758842443,0.11318327974276528,4.334975369458128,0.02662120893565079
1405,1406,L48585,L,298.9,310.1,1394,42.7,179,0,No Failure,6233.32,3373.32,5.600000000000023,32.6463700234192,0.030631276901004305,0.1284074605451937,4.192037470725995,0.028716638966072655
1406,1407,L48586,L,298.9,310.1,1442,48.0,181,0,No Failure,7248.28,4388.28,5.600000000000023,30.041666666666668,0.033287101248266296,0.12552011095700416,3.7708333333333335,0.02497144150060428
1407,1408,L48587,L,298.9,310.0,1564,33.8,183,0,No Failure,5535.82,2675.82,5.550000000000011,46.27218934911243,0.021611253196930944,0.1170076726342711,5.4142011834319534,0.0330574332257913
1408,1409,L48588,L,298.9,310.0,1452,48.9,185,0,No Failure,7435.4,4575.4,5.550000000000011,29.69325153374233,0.03367768595041322,0.12741046831955924,3.783231083844581,0.02488097479624499
1409,1410,L48589,L,298.9,310.1,1466,42.5,187,0,No Failure,6524.56,3664.56,5.600000000000023,34.49411764705882,0.02899045020463847,0.1275579809004093,4.4,0.028660936522922616
1410,1411,M16270,M,298.9,310.1,1469,53.2,189,0,No Failure,8183.93,5323.93,5.600000000000023,27.612781954887218,0.036215112321307016,0.12865895166780122,3.552631578947368,0.023094039171889298
1411,1412,L48591,L,298.9,310.1,1944,23.4,192,0,No Failure,4763.66,1903.66,5.600000000000023,83.07692307692308,0.012037037037037037,0.09876543209876543,8.205128205128206,0.04030514352409702
1412,1413,M16272,M,298.8,309.9,1415,53.2,194,0,No Failure,7883.09,5023.09,5.549999999999983,26.597744360902254,0.037597173144876324,0.1371024734982332,3.6466165413533833,0.02460963911359632
1413,1414,M16273,M,298.7,309.8,1528,36.7,197,0,No Failure,5872.43,3012.43,5.550000000000011,41.63487738419618,0.024018324607329843,0.12892670157068062,5.367847411444141,0.03354658974223618
1414,1415,M16274,M,298.7,309.8,1570,42.1,200,0,No Failure,6921.66,4061.66,5.550000000000011,37.29216152019002,0.02681528662420382,0.12738853503184713,4.750593824228028,0.02889480269183982
1415,1416,L48595,L,298.7,309.9,1617,33.0,203,0,No Failure,5587.95,2727.95,5.599999999999994,49.0,0.02040816326530612,0.12554112554112554,6.151515151515151,0.036328170438175
1416,1417,M16276,M,298.7,309.9,2083,18.2,205,0,No Failure,3969.99,1109.99,5.599999999999994,114.45054945054946,0.008737397983677389,0.09841574651944311,11.263736263736265,0.05163740966601931
1417,1418,L48597,L,298.7,309.9,1541,38.5,208,0,No Failure,6212.87,3352.87,5.599999999999994,40.02597402597402,0.02498377676833225,0.13497728747566515,5.402597402597403,0.033478891398017345
1418,1419,L48598,L,298.8,309.9,1320,47.4,210,0,No Failure,6552.11,3692.11,5.549999999999983,27.848101265822784,0.03590909090909091,0.1590909090909091,4.4303797468354436,0.032050743958816325
1419,1420,L48599,L,298.7,309.8,1354,53.3,212,1,Overstrain Failure,7557.44,4697.44,5.550000000000011,25.403377110694183,0.03936484490398818,0.15657311669128507,3.977485928705441,0.028051827073718085
1420,1421,M16280,M,298.8,309.9,1495,35.2,214,0,No Failure,5510.77,2650.77,5.549999999999983,42.47159090909091,0.023545150501672243,0.1431438127090301,6.079545454545454,0.038833048739105425
1421,1422,L48601,L,298.7,309.8,1589,31.8,217,0,No Failure,5291.51,2431.51,5.550000000000011,49.9685534591195,0.020012586532410323,0.13656387665198239,6.823899371069182,0.04100908814308203
1422,1423,L48602,L,298.7,309.8,1530,35.5,0,0,No Failure,5687.85,2827.85,5.550000000000011,43.098591549295776,0.023202614379084968,0.0,0.0,0.0
1423,1424,L48603,L,298.7,309.8,1539,33.4,2,0,No Failure,5382.87,2522.87,5.550000000000011,46.07784431137725,0.02170240415854451,0.001299545159194282,0.059880239520958084,0.0003715490063850697
1424,1425,L48604,L,298.7,309.7,1462,46.8,4,0,No Failure,7165.09,4305.09,5.5,31.239316239316242,0.0320109439124487,0.0027359781121751026,0.08547008547008547,0.0005582623526012932
1425,1426,L48605,L,298.6,309.7,1356,54.0,6,0,No Failure,7668.0,4808.0,5.549999999999983,25.11111111111111,0.03982300884955752,0.004424778761061947,0.1111111111111111,0.000782472613458529
1426,1427,M16286,M,298.7,309.7,1622,34.6,8,0,No Failure,5877.0,3017.0,5.5,46.878612716763,0.021331689272503083,0.004932182490752158,0.23121387283236994,0.00136123872724179
1427,1428,L48607,L,298.7,309.8,1394,40.3,11,0,No Failure,5882.97,3022.97,5.550000000000011,34.59057071960298,0.02890961262553802,0.007890961262553802,0.2729528535980149,0.0018698038575753403
1428,1429,L48608,L,298.8,309.9,1568,33.7,13,0,No Failure,5533.56,2673.56,5.549999999999983,46.52818991097922,0.02149234693877551,0.008290816326530613,0.38575667655786344,0.002349301353920442
1429,1430,M16289,M,298.9,310.0,1456,43.8,15,0,No Failure,6678.27,3818.27,5.550000000000011,33.242009132420094,0.03008241758241758,0.010302197802197802,0.34246575342465757,0.0022460906791728994
1430,1431,L48610,L,298.9,310.0,1378,49.3,18,0,No Failure,7114.18,4254.18,5.550000000000011,27.951318458417852,0.035776487663280114,0.013062409288824383,0.36511156186612576,0.0025301580786541806
1431,1432,M16291,M,298.9,309.9,1404,41.4,20,0,No Failure,6086.9,3226.9,5.5,33.91304347826087,0.029487179487179487,0.014245014245014245,0.48309178743961356,0.0032857447962016794
1432,1433,L48612,L,298.8,309.8,1437,42.8,23,0,No Failure,6440.64,3580.64,5.5,33.57476635514019,0.029784272790535835,0.016005567153792623,0.5373831775700935,0.003571073682118547
1433,1434,L48613,L,298.8,309.8,1363,44.0,25,0,No Failure,6280.25,3420.25,5.5,30.977272727272727,0.032281731474688186,0.018341892883345562,0.5681818181818182,0.003980733251064846
1434,1435,M16294,M,298.8,309.8,1377,49.6,27,0,No Failure,7152.28,4292.28,5.5,27.762096774193548,0.03602033405954975,0.0196078431372549,0.5443548387096774,0.0037750199936244107
1435,1436,H30849,H,298.8,309.9,1526,42.1,30,0,No Failure,6727.68,3867.68,5.549999999999983,36.24703087885985,0.02758846657929227,0.019659239842726082,0.7125890736342042,0.004459189497716895
1436,1437,H30850,H,298.8,309.8,1510,44.2,35,0,No Failure,6989.21,4129.21,5.5,34.16289592760181,0.02927152317880795,0.023178807947019868,0.7918552036199095,0.005007719041207804
1437,1438,H30851,H,298.8,309.9,1439,45.2,40,1,No Failure,6811.27,3951.27,5.549999999999983,31.836283185840706,0.03141070187630299,0.02779708130646282,0.8849557522123893,0.005872619937251055
1438,1439,L48618,L,298.8,309.9,1482,39.1,45,0,No Failure,6068.11,3208.11,5.549999999999983,37.90281329923273,0.02638326585695007,0.030364372469635626,1.1508951406649617,0.007415818104813525
1439,1440,M16299,M,298.8,309.8,1534,37.0,47,0,No Failure,5943.68,3083.68,5.5,41.45945945945946,0.024119947848761408,0.030638852672750978,1.2702702702702702,0.007907558953375686
1440,1441,M16300,M,298.8,309.9,1741,27.7,50,0,No Failure,5050.18,2190.18,5.549999999999983,62.85198555956679,0.01591039632395175,0.02871912693854107,1.8050541516245489,0.009900637205010514
1441,1442,L48621,L,298.8,309.9,1550,38.8,53,0,No Failure,6297.85,3437.85,5.549999999999983,39.948453608247426,0.025032258064516127,0.034193548387096775,1.365979381443299,0.008415570393070651
1442,1443,M16302,M,298.8,310.0,1486,38.5,55,0,No Failure,5991.12,3131.12,5.599999999999994,38.5974025974026,0.025908479138627188,0.0370121130551817,1.4285714285714286,0.009180253441760473
1443,1444,L48623,L,298.9,310.1,1602,38.2,58,0,No Failure,6408.47,3548.47,5.600000000000023,41.937172774869104,0.02384519350811486,0.03620474406991261,1.5183246073298429,0.009050522199526564
1444,1445,L48624,L,299.0,310.2,1477,37.9,60,0,No Failure,5862.03,3002.03,5.599999999999994,38.970976253298154,0.025660121868652675,0.040622884224779957,1.58311345646438,0.010235362152701368
1445,1446,L48625,L,299.0,310.1,1618,29.2,62,0,No Failure,4947.55,2087.55,5.550000000000011,55.41095890410959,0.018046971569839306,0.038318912237330034,2.1232876712328768,0.012531454962557224
1446,1447,M16306,M,299.0,310.2,1628,35.8,64,0,No Failure,6103.32,3243.32,5.599999999999994,45.47486033519554,0.02199017199017199,0.03931203931203931,1.787709497206704,0.010486096091963062
1447,1448,M16307,M,299.0,310.3,1662,33.6,67,0,No Failure,5847.89,2987.89,5.650000000000006,49.464285714285715,0.020216606498194945,0.040312876052948254,1.994047619047619,0.011457123851508834
1448,1449,M16308,M,299.0,310.3,1657,31.0,70,0,No Failure,5379.14,2519.14,5.650000000000006,53.45161290322581,0.018708509354254676,0.04224502112251056,2.2580645161290325,0.013013232598519464
1449,1450,H30863,H,299.0,310.4,1677,30.8,73,0,No Failure,5408.94,2548.94,5.699999999999989,54.44805194805195,0.018366129994036973,0.043530113297555156,2.37012987012987,0.01349617485126476
1450,1451,M16310,M,299.0,310.3,1447,39.9,78,0,No Failure,6046.03,3186.03,5.650000000000006,36.265664160401,0.027574291637871458,0.05390463026952315,1.954887218045113,0.01290102761646899
1451,1452,L48631,L,298.9,310.4,1831,25.4,81,0,No Failure,4870.24,2010.24,5.75,72.08661417322836,0.01387220098306936,0.04423812124522119,3.188976377952756,0.016631623903544796
1452,1453,L48632,L,299.0,310.3,1584,34.4,83,0,No Failure,5706.14,2846.14,5.650000000000006,46.04651162790698,0.021717171717171715,0.052398989898989896,2.412790697674419,0.014545734945164332
1453,1454,L48633,L,299.1,310.4,1450,40.9,85,0,No Failure,6210.41,3350.41,5.649999999999977,35.45232273838631,0.028206896551724137,0.05862068965517241,2.078239608801956,0.013686697013562711
1454,1455,L48634,L,299.1,310.4,1428,46.9,87,0,No Failure,7013.42,4153.42,5.649999999999977,30.44776119402985,0.03284313725490196,0.06092436974789916,1.8550106609808104,0.012404789674652309
1455,1456,L48635,L,299.0,310.4,1382,53.0,89,0,No Failure,7670.3,4810.3,5.699999999999989,26.07547169811321,0.03835021707670044,0.06439942112879884,1.679245283018868,0.011603196745889992
1456,1457,L48636,L,299.0,310.3,1501,43.0,91,0,No Failure,6758.93,3898.93,5.650000000000006,34.906976744186046,0.028647568287808126,0.060626249167221855,2.116279069767442,0.01346366954532744
1457,1458,L48637,L,299.0,310.3,1475,42.4,93,0,No Failure,6549.17,3689.17,5.650000000000006,34.7877358490566,0.028745762711864405,0.06305084745762712,2.1933962264150946,0.014200272706312403
1458,1459,L48638,L,298.9,310.3,1364,54.0,95,0,No Failure,7713.24,4853.24,5.700000000000017,25.25925925925926,0.039589442815249266,0.06964809384164222,1.7592592592592593,0.012316484382697803
1459,1460,L48639,L,299.0,310.3,1472,36.1,97,0,No Failure,5564.72,2704.72,5.650000000000006,40.77562326869806,0.02452445652173913,0.06589673913043478,2.6869806094182827,0.017431245417559194
1460,1461,L48640,L,299.0,310.3,1437,47.8,99,0,No Failure,7193.05,4333.05,5.650000000000006,30.062761506276154,0.033263743910925535,0.06889352818371608,2.071129707112971,0.013763285393539597
1461,1462,L48641,L,298.9,310.2,1491,45.1,101,0,No Failure,7041.79,4181.79,5.650000000000006,33.05986696230599,0.03024815560026828,0.06773977196512408,2.2394678492239466,0.014342944052577541
1462,1463,L48642,L,298.9,310.2,1706,27.6,103,0,No Failure,4930.79,2070.79,5.650000000000006,61.81159420289855,0.016178194607268465,0.06037514654161782,3.731884057971014,0.020889147580813623
1463,1464,L48643,L,298.8,310.1,1607,39.5,105,0,No Failure,6647.24,3787.24,5.650000000000006,40.68354430379747,0.024579962663347853,0.06533914125700062,2.6582278481012658,0.01579602963034282
1464,1465,L48644,L,298.8,310.0,1412,46.3,107,0,No Failure,6846.12,3986.12,5.599999999999994,30.49676025917927,0.032790368271954674,0.07577903682719547,2.311015118790497,0.015629290751549785
